Unnamed: 0,fiscal_year,work_location_borough,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay
0,2023,QUEENS,103483.0,per Annum,1820.0,98392.13,0.0,0.0,11314.99
1,2023,BROOKLYN,109977.0,per Annum,1330.0,79025.39,0.0,0.5,3908.69
2,2023,RICHMOND,53848.0,per Annum,210.0,6416.15,0.0,0.0,152.79
3,2023,MANHATTAN,62161.0,per Annum,0.0,291.28,0.0,0.0,14165.51
4,2023,MANHATTAN,74781.0,per Annum,1820.0,72443.96,16.5,714.43,3048.15
5,2023,QUEENS,65921.0,per Annum,1820.0,65998.3,21.75,896.05,8149.47
6,2023,MANHATTAN,92926.0,per Annum,1820.0,93037.26,0.0,0.0,8053.83
7,2023,BRONX,67983.0,per Annum,1820.0,68061.89,4.0,146.4,3162.65
8,2023,MANHATTAN,62224.0,per Annum,1820.0,64378.14,0.0,0.0,5356.03
9,2023,MANHATTAN,83571.0,per Annum,1820.0,83446.09,239.75,13442.27,8738.62
10,2023,BROOKLYN,65921.0,per Annum,1519.0,47707.27,0.0,0.0,5037.75
11,2023,MANHATTAN,71404.0,per Annum,1820.0,70960.65,0.0,0.0,4477.75
12,2023,MANHATTAN,71840.0,per Annum,1820.0,71643.25,17.25,850.31,314.25
13,2023,MANHATTAN,192152.0,per Annum,1820.0,177946.22,0.0,0.0,0.0
14,2023,MANHATTAN,94469.0,per Annum,1820.0,94582.8,460.5,31912.1,25792.84
15,2023,BROOKLYN,54531.0,per Annum,1820.0,47412.72,168.0,4882.63,8349.98
16,2023,MANHATTAN,65921.0,per Annum,1820.0,65770.17,12.75,597.81,12001.05
17,2023,MANHATTAN,88035.0,per Annum,1820.0,88141.49,0.0,0.0,4477.75
18,2023,MANHATTAN,65921.0,per Annum,1820.0,62962.5,376.85,18345.48,15189.08
19,2023,QUEENS,55463.0,per Annum,1540.0,40730.97,317.0,10866.47,10082.9
20,2023,MANHATTAN,88402.0,per Annum,1820.0,88504.98,0.0,0.0,3017.0
21,2023,QUEENS,54602.0,per Annum,445.0,14488.2,0.0,0.0,1179.84
22,2023,QUEENS,45728.0,per Annum,1820.0,45780.89,0.0,0.0,3000.0
23,2023,MANHATTAN,59874.0,per Annum,0.0,609.05,0.0,0.0,36.35
24,2023,BRONX,94079.0,per Annum,1820.0,94189.24,1111.25,86210.57,24019.72
25,2023,QUEENS,70606.0,per Annum,1820.0,70690.64,20.25,866.09,8227.59
26,2023,BROOKLYN,60236.0,per Annum,1470.0,44880.51,33.25,1241.04,3077.08
27,2023,BRONX,65921.0,per Annum,1820.0,65998.3,372.25,17268.91,14478.28
28,2023,MANHATTAN,41461.0,per Annum,2080.0,40307.08,114.0,3273.31,238.28
29,2023,BRONX,57779.0,per Annum,1820.0,56073.94,990.25,42213.09,18816.29
30,2023,BROOKLYN,66022.0,per Annum,1820.0,66103.17,67.0,2658.28,15366.57
31,2023,BROOKLYN,55463.0,per Annum,560.0,15697.02,41.75,1465.28,3008.25
32,2023,MANHATTAN,61105.0,per Annum,1820.0,60937.5,0.0,0.0,1764.34
33,2023,QUEENS,160392.0,per Annum,1820.0,143503.12,0.0,0.0,0.0
34,2023,MANHATTAN,66022.0,per Annum,1820.0,66103.17,127.0,5875.74,20087.29
35,2023,MANHATTAN,65921.0,per Annum,1820.0,59361.53,93.0,5250.91,12652.21
36,2023,QUEENS,109977.0,per Annum,1820.0,98396.29,21.0,1517.21,16327.01
37,2023,BRONX,65921.0,per Annum,1820.0,65998.3,695.0,35368.85,8249.83
38,2023,BROOKLYN,97721.0,per Annum,1820.0,97835.49,6.0,339.89,3696.16
39,2023,QUEENS,53848.0,per Annum,595.0,17555.8,35.5,1337.37,72.98
40,2023,MANHATTAN,124474.0,per Annum,1820.0,121401.96,0.0,0.0,3000.0
41,2023,BRONX,55463.0,per Annum,1050.0,30876.23,92.0,3205.12,3017.0
42,2023,BRONX,52320.0,per Annum,0.0,1979.01,0.0,172.7,115.02
43,2023,MANHATTAN,149836.0,per Annum,1575.0,129310.16,0.0,0.0,0.0
44,2023,BROOKLYN,58482.0,per Annum,1120.0,33888.53,74.0,2474.82,655.09
45,2023,BRONX,65921.0,per Annum,1820.0,65998.3,583.75,28900.76,12711.18
46,2023,BROOKLYN,60236.0,per Annum,1470.0,44880.51,128.25,5318.38,3300.27
47,2023,MANHATTAN,65921.0,per Annum,1820.0,65998.3,471.0,23563.47,11290.05
48,2023,QUEENS,58482.0,per Annum,210.0,8538.91,25.25,934.0,604.26
49,2023,BRONX,102226.0,per Annum,1820.0,101945.99,0.0,0.0,0.0
50,2023,BRONX,60236.0,per Annum,1820.0,58114.13,215.5,8349.73,3240.03
51,2023,MANHATTAN,83493.0,per Annum,1820.0,83590.08,0.0,0.0,3000.0
52,2023,MANHATTAN,40940.0,per Annum,1820.0,40990.83,0.0,0.0,4510.75
53,2023,MANHATTAN,70198.0,per Annum,1820.0,70005.78,6.75,271.74,3364.18
54,2023,MANHATTAN,97814.0,per Annum,1820.0,97546.02,0.0,0.0,6947.97
55,2023,MANHATTAN,43688.0,per Annum,1950.0,43741.34,66.25,2031.98,7430.93
56,2023,QUEENS,64001.0,per Annum,266.0,11379.89,0.0,88.36,11277.85
57,2023,RICHMOND,60236.0,per Annum,1470.0,44880.51,142.5,5137.19,3181.05
58,2023,BROOKLYN,96330.0,per Annum,371.0,20065.94,0.0,0.0,1096.07
59,2023,BRONX,65674.0,per Annum,1561.75,59270.71,1.0,64.28,5066.1
60,2023,RICHMOND,58482.0,per Annum,525.0,18233.11,76.0,3032.09,0.65
61,2023,QUEENS,53848.0,per Annum,70.0,2065.4,0.0,0.0,0.0
62,2023,BRONX,38287.0,per Annum,2080.0,37421.5,91.0,2567.17,8243.54
63,2023,MANHATTAN,63483.0,per Annum,1820.0,63550.6,723.62,35269.25,5859.0
64,2023,MANHATTAN,66342.0,per Annum,1820.0,66421.89,18.5,816.77,8029.08
65,2023,MANHATTAN,89106.0,per Annum,0.0,480.74,0.0,0.0,13059.56
66,2023,BRONX,65921.0,per Annum,1750.0,63806.58,173.75,7205.29,12935.48
67,2023,RICHMOND,64232.0,per Annum,1820.0,62436.77,372.5,17261.02,4097.6
68,2023,MANHATTAN,83684.0,per Annum,1820.0,83784.11,0.0,0.0,4543.75
69,2023,MANHATTAN,89074.0,per Annum,1820.0,89180.51,19.0,1022.24,8029.69
70,2023,MANHATTAN,46693.0,per Annum,1820.0,46786.96,1347.0,50041.79,8202.74
71,2023,MANHATTAN,94469.0,per Annum,1820.0,94582.8,0.0,0.0,15331.62
72,2023,BRONX,64001.0,per Annum,1260.0,41049.45,140.5,6735.18,9448.68
73,2023,BRONX,60236.0,per Annum,1820.0,57733.56,130.0,4626.72,3050.0
74,2023,BRONX,53848.0,per Annum,840.0,24696.28,63.5,2365.26,3625.84
75,2023,BRONX,55463.0,per Annum,1050.0,31082.77,191.25,6940.05,3016.35
76,2023,MANHATTAN,65921.0,per Annum,0.0,1097.98,0.0,0.0,0.0
77,2023,MANHATTAN,85234.0,per Annum,210.0,12548.26,0.0,0.0,0.0
78,2023,BRONX,64001.0,per Annum,810.0,30140.46,0.0,73.33,752.36
79,2023,QUEENS,94296.0,per Annum,1820.0,94409.42,350.25,23499.09,8163.79
80,2023,BRONX,73780.0,per Annum,1820.0,73870.22,120.5,5252.17,8043.62
81,2023,BRONX,62186.0,per Annum,0.0,646.57,0.0,8.37,6.99
82,2023,MANHATTAN,133630.0,per Annum,1820.0,133786.26,0.0,0.0,5778.28
83,2023,MANHATTAN,64001.0,per Annum,210.0,9416.21,0.0,101.93,1597.79
84,2023,BRONX,65921.0,per Annum,1820.0,65998.3,79.75,3179.32,8583.4
85,2023,BROOKLYN,76671.0,per Annum,1820.0,79501.73,1362.5,86449.02,24818.86
86,2023,BRONX,53890.0,per Annum,1820.0,52072.71,716.25,28435.92,13656.88
87,2023,BRONX,62137.0,per Annum,0.0,1457.76,0.0,119.13,0.44
88,2023,MANHATTAN,48553.0,per Annum,0.0,2981.92,0.0,0.0,759.03
89,2023,QUEENS,65921.0,per Annum,1820.0,65809.84,211.25,9887.09,12406.37
90,2023,MANHATTAN,76894.0,per Annum,672.0,30795.57,0.0,0.0,4378.98
91,2023,BROOKLYN,50001.0,per Annum,1120.0,30257.83,428.25,15956.91,9830.66
92,2023,BROOKLYN,65921.0,per Annum,1820.0,70002.49,3.0,112.76,11305.71
93,2023,BROOKLYN,50001.0,per Annum,280.0,7803.35,0.0,0.0,0.0
94,2023,MANHATTAN,98373.0,per Annum,1820.0,98560.45,0.0,0.0,3680.07
95,2023,MANHATTAN,66494.0,per Annum,1820.0,66790.3,0.0,0.0,5515.41
96,2023,MANHATTAN,42228.0,per Annum,667.28,15584.4,0.0,0.0,8857.44
97,2023,MANHATTAN,67983.0,per Annum,1820.0,66946.42,0.0,0.0,3075.0
98,2023,MANHATTAN,59183.0,per Annum,980.0,33702.76,11.5,412.92,2743.59
99,2023,MANHATTAN,64232.0,per Annum,1546.0,56814.43,44.75,2321.94,11457.53
100,2023,MANHATTAN,59995.0,per Annum,840.0,28600.55,0.0,0.0,1170.0
101,2023,MANHATTAN,86485.0,per Annum,1820.0,86247.98,0.0,0.0,0.0
102,2023,BRONX,57779.0,per Annum,1820.0,56929.68,1010.0,43323.37,11575.67
103,2023,MANHATTAN,185000.0,per Annum,1575.0,159657.18,0.0,0.0,0.0
104,2023,MANHATTAN,68370.0,per Annum,1820.0,68452.62,0.0,0.0,7021.0
105,2023,BROOKLYN,66022.0,per Annum,1820.0,66103.17,33.25,1285.12,24689.69
106,2023,BRONX,55463.0,per Annum,560.0,16624.97,10.75,390.39,3016.5
107,2023,BRONX,53890.0,per Annum,1680.0,33136.38,302.75,8949.17,9348.98
108,2023,RICHMOND,94079.0,per Annum,1820.0,94189.24,125.75,7218.95,7448.0
109,2023,MANHATTAN,68007.0,per Annum,1820.0,68063.41,0.0,0.0,4477.75
110,2023,BROOKLYN,48545.0,per Annum,455.0,10012.3,8.0,212.56,0.0
111,2023,RICHMOND,65921.0,per Annum,1820.0,65989.25,0.0,103.9,12099.19
112,2023,BRONX,65921.0,per Annum,1820.0,65976.32,531.25,25093.59,4547.37
113,2023,BRONX,53890.0,per Annum,1445.0,43229.33,367.5,14943.91,10543.27
114,2023,MANHATTAN,53706.0,per Annum,1820.0,53771.03,6.75,223.59,4485.09
115,2023,MANHATTAN,55463.0,per Annum,560.0,16558.89,22.0,671.71,3004.42
116,2023,MANHATTAN,54631.0,per Annum,1820.0,54481.44,0.0,0.0,4349.46
117,2023,BROOKLYN,72119.0,per Annum,1820.0,71765.52,5.5,224.05,3024.73
118,2023,MANHATTAN,53848.0,per Annum,70.0,1958.69,0.0,0.0,0.0
119,2023,BRONX,50797.0,per Annum,58.0,-843.28,22.0,788.95,126.37
120,2023,BROOKLYN,60236.0,per Annum,1820.0,58113.61,79.25,3427.15,3386.06
121,2023,BROOKLYN,53848.0,per Annum,385.0,11153.06,7.25,228.42,14.14
122,2023,BRONX,73665.0,per Annum,1820.0,87248.37,162.75,9780.5,8542.14
123,2023,MANHATTAN,40998.0,per Annum,0.0,404.18,0.0,0.0,0.0
124,2023,BRONX,61024.0,per Annum,1820.0,61097.82,156.25,6021.12,8067.07
125,2023,BROOKLYN,94079.0,per Annum,1820.0,94189.24,242.75,14156.4,7352.39
126,2023,BRONX,65921.0,per Annum,1820.0,65998.3,2.5,132.95,6389.04
127,2023,MANHATTAN,82284.0,per Annum,1820.0,82304.06,0.0,0.0,8127.7
128,2023,QUEENS,55463.0,per Annum,595.0,18487.15,15.0,818.55,5854.01
129,2023,MANHATTAN,46693.0,per Annum,1820.0,46747.51,390.25,13241.15,5454.8
130,2023,BROOKLYN,114771.0,per Annum,1820.0,102685.58,162.0,11438.82,17385.61
131,2023,MANHATTAN,98345.0,per Annum,1820.0,98377.31,0.0,19.37,3680.07
132,2023,MANHATTAN,69935.0,per Annum,577.0,23119.47,57.0,2760.33,3014.86
133,2023,QUEENS,62361.0,per Annum,1050.0,36009.17,271.0,12620.31,6597.68
134,2023,MANHATTAN,88649.0,per Annum,1820.0,89541.64,4.0,228.21,7565.23
135,2023,MANHATTAN,65921.0,per Annum,1239.5,47623.72,0.0,145.56,12842.41
136,2023,QUEENS,52280.0,per Annum,0.0,584.2,0.0,0.0,0.0
137,2023,MANHATTAN,128235.0,per Annum,1820.0,127883.61,0.0,0.0,0.0
138,2023,MANHATTAN,93534.0,per Annum,1820.0,93277.86,1.0,53.9,4927.51
139,2023,BROOKLYN,48545.0,per Annum,288.75,7518.18,0.0,0.0,34.56
140,2023,BRONX,49820.0,per Annum,0.0,0.0,0.0,0.0,2839.88
141,2023,MANHATTAN,65921.0,per Annum,1820.0,65998.3,128.75,5650.81,16716.74
142,2023,MANHATTAN,65921.0,per Annum,280.0,11436.76,0.0,0.0,260.04
143,2023,BROOKLYN,65921.0,per Annum,1820.0,64960.61,0.0,0.0,5603.26
144,2023,BROOKLYN,65921.0,per Annum,1820.0,65998.3,0.0,5.83,12424.46
145,2023,BRONX,55053.0,per Annum,1820.0,54902.12,94.25,3674.26,4794.23
146,2023,MANHATTAN,76671.0,per Annum,1820.0,78252.47,1.75,72.92,4959.33
147,2023,BRONX,44309.0,per Annum,1950.0,39826.01,991.25,32792.62,6795.4
148,2023,BRONX,67983.0,per Annum,1820.0,68044.73,488.0,23077.83,6234.51
149,2023,MANHATTAN,61135.0,per Annum,1820.0,56237.62,0.0,0.0,7973.96
150,2023,BRONX,50001.0,per Annum,805.0,22271.6,275.5,10583.75,6127.39
151,2023,MANHATTAN,89000.0,per Annum,0.0,916.62,0.0,0.0,6.67
152,2023,BROOKLYN,64001.0,per Annum,1610.0,58512.81,61.5,2626.51,12052.13
153,2023,MANHATTAN,60327.0,per Annum,0.0,0.0,0.0,0.0,12797.87
154,2023,BROOKLYN,65921.0,per Annum,1820.0,65998.3,152.5,6875.28,13017.57
155,2023,BRONX,76671.0,per Annum,1820.0,80141.8,0.0,553.73,7770.63
156,2023,MANHATTAN,61178.0,per Annum,1820.0,61010.3,142.0,5756.86,4566.22
157,2023,MANHATTAN,65921.0,per Annum,1820.0,65507.34,451.25,23107.84,14412.67
158,2023,QUEENS,55463.0,per Annum,140.0,4232.57,0.0,0.0,0.0
159,2023,MANHATTAN,102905.0,per Annum,0.0,0.0,0.0,0.0,12190.91
160,2023,MANHATTAN,55463.0,per Annum,560.0,16580.71,36.0,1269.97,3020.97
161,2023,QUEENS,94469.0,per Annum,1820.0,94582.8,263.25,20033.7,8644.73
162,2023,MANHATTAN,83493.0,per Annum,1820.0,83590.08,0.0,0.0,3084.0
163,2023,QUEENS,55463.0,per Annum,140.0,4232.57,0.0,0.0,0.0
164,2023,BROOKLYN,50001.0,per Annum,400.75,10418.09,6.75,342.4,206.02
165,2023,MANHATTAN,97430.0,per Annum,1820.0,97543.97,0.0,0.0,3000.0
166,2023,MANHATTAN,55463.0,per Annum,1050.0,31068.02,133.25,4707.25,3010.31
167,2023,BROOKLYN,64232.0,per Annum,1820.0,61070.08,481.0,22246.67,4047.88
168,2023,MANHATTAN,70330.0,per Annum,0.0,1807.74,0.0,0.0,0.0
169,2023,MANHATTAN,64001.0,per Annum,1400.0,49012.84,165.0,7925.15,11945.73
170,2023,BROOKLYN,64001.0,per Annum,878.0,32842.18,64.0,3230.06,18715.54
171,2023,BROOKLYN,38287.0,per Annum,1840.0,31298.11,297.25,7356.81,5253.69
